"HolderAddress","Quantity","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000000","1616","No"
"0x24e267d13314dd742d86c3321e727b801ed99542","104","No"
"0x88341d1a8f672d2780c8dc725902aae72f143b0c","64","No"
"0x6c415673c79b31aca38669ad9fb5cdb7012c0e8e","49","No"
"0xcffc336e6d019c1af58257a0b10bf2146a3f42a4","37","No"
"0xebbfae088c8643ee4dd4186d703be6ac8b1ae7d6","24","No"
"0xb4beb2ea10d10e2e1380779d8e878f6d47e165bb","16","No"
"0x5ec341ae9eccf50b771fe469e65b32af6efae1b6","10","No"
"0x5cb803c31e8f4f895a3ab19d8218646dc63e9dc2","10","No"
"0xf896527c49b44aab3cf22ae356fa3af8e331f280","10","No"
"0xea74652af3c558cc701e724adbb77c6f55e721ba","5","No"
"0xd1fc6b3aa5e3779df7f593a35c40038dc85b5399","4","No"
"0x031c690be2932403cbdd85f8853f596794cff6c3","3","No"
"0xb88f61e6fbda83fbfffabe364112137480398018","3","No"
"0x5d11fca179dce506a0dbebc1bd0ff296000c7d5f","2","No"
"0x4bb58423a8b2ebc4cbc478abfc53e0bd9b0912ab","1","No"
"0x4c47bae1c2fa11fff9919c1fb9f3513421726155","1","No"
"0x4fc1d1118b2754366a2e53c486139a14059d2e75","1","No"
"0x59c69d3c8786156901a81c708669c1c558832234","1","No"
"0x5c7d6ad052800f70dd9372e3a4f522b193177fa6","1","No"
"0x69c488bcda156379b6661f08a35db627e5d467dd","1","No"
"0x6c9a2fd96616dca3f2d19ff021ae23d1d6d6c007","1","No"
"0x6ffd7ede62328b3af38fcd61461bbfc52f5651fe","1","No"
"0x7f791667679e6055e6392e100af39a9c59659dab","1","No"
"0x8737581e027332d7cab974c3505719b6c83bb12e","1","No"
"0x8b007e2d34faa235cbfff9977112b11738847d05","1","No"
"0x8be6ad79f67d1b76eba486b0ef4fd2c9bd1cd067","1","No"
"0x7e23a0a9fd1105ca4b1dc9b7e0f0aab3b7071caa","1","No"
"0x983110309620d911731ac0932219af06091b6744","1","No"
"0x9898da0ec70e8afb33bf7bc15aeafa1335fa3e82","1","No"
"0x98d7bc088fc1e7a2f9b3536fcfbca405f902467e","1","No"
"0x99943217629a15c187fe848c13b5bb1a272d4d6b","1","No"
"0xb25a1d02b029d53212e4c356b6daad419762e606","1","No"
"0x8ca9a0fbd8db501f013f2e9e33a1b9dc129a48e0","1","No"
"0xb5793279bf69983bdb9dccd6eef1fa35e1b09c35","1","No"
"0x05e2461c8c10138aee241268f28de6003d3dbadb","1","No"
"0xbde05e34ea7e059a56428985b66ae07fbc41a497","1","No"
"0xc2a96acccedc7236d80eb7ad723c250c942daf41","1","No"
"0xc880fcb325a5d725404a35438583962dc4b5d610","1","No"
"0xcb4d749fd1ff081d6fea3bd978de87603e098e63","1","No"
"0x0ef024d299cb56805f2437cd00b8a361a7b06d54","1","No"
"0x16c2fba57c3e73036d2a7f2258564de06dd6a1e4","1","No"
"0x26fcbd3afebbe28d0a8684f790c48368d21665b5","1","No"
"0xdffa3a7f5b40789c7a437dbe7b31b47f9b08fe75","1","No"
"0xe105768b1d0144478aa946f2ab8d5a440055c2e9","1","No"
"0xe10824fd1ffb9951215025eb26cda42d2d8d9c4c","1","No"
"0xe468ce99444174bd3bbbed09209577d25d1ad673","1","No"
"0xe7315fe7e1593abb56d0b8876d775abcc84a439c","1","No"
"0xd79b937791724e47f193f67162b92cdfbf7abdfd","1","No"
"0xe8e06515973c9ade600c0202bca6c256c90b8b00","1","No"
"0x484c6dcd50978b9d525cc20a02d5801f492931f8","1","No"
"0xeb61393503691c6e20eafd82655b7a94450c3124","1","No"
"0x486d582eed105cef4e4aa270c93b1e03fe5b04f3","1","No"
"0xec55268b206e47409972820583079be9a8af5acc","1","No"
"0xe7a760fe246469a0dc198856feb49fd68f23b9a7","1","No"
